,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1817,0,1,1476,738,738,1476,164,369,492,369,123,246,369,1476,492,1476,369,1476,1476,1476,1476,738,1476,492,1476,738,123,246,738,492,738,164,1476,369,738,1476,82,-1,41,1476,738,738,1476,164,369,492,738,246,246,369,1476,492,1476,738,1476,1476,1476,1476,738,1476,492,1476,738,123,246,738,492,738,164,1476,369,738,1476,82,-1,41,1476,738,738,1476,164,369,12,-1,3,246,369,1476,492,1476,369,1476,1476,1476,1476,738,1476,492,1476,738
10807,0,1,738,492,369,2952,1476,984,246,246,328,2952,1476,2952,2952,2952,369,984,738,1476,2952,984,328,1476,492,1476,2952,164,2952,2952,984,2952,738,2952,2952,1476,738,369,1476,2952,2952,738,2952,984,2952,2952,164,2952,1476,492,1476,328,984,2952,1476,738,984,738,2952,2952,2952,1476,2952,328,123,246,984,1476,2952,738,492,738,82,-1,82,369,492,369,2952,1476,984,123,6,-1,72,1476,2952,2952,2952,738,984,738,1476,2952,984,328,1476,492,1476,2952
8881,0,1,638,2552,319,1276,2552,2552,638,1276,1276,638,232,2552,2552,2552,319,1276,1276,2552,1276,1276,638,2552,2552,638,2552,2552,2552,2552,2552,2552,638,2552,116,2552,1276,232,2552,638,1276,2552,1276,2552,638,319,2552,1276,2552,1276,638,2552,232,1276,2552,116,2552,638,88,-1,88,2552,2552,2552,319,2552,2552,638,1276,1276,2552,1276,1276,638,2552,2552,2552,232,319,1276,1276,638,2552,2552,1276,638,2552,638,58,-1,58,638,2552,638,1276,2552,2552,638,1276,1276
8453,0,1,1148,1148,574,574,574,287,1148,574,1148,1148,164,574,1148,1148,287,164,1148,1148,574,1148,574,287,574,287,1148,1148,82,-1,41,1148,1148,574,574,574,287,1148,574,1148,1148,164,574,1148,1148,574,164,1148,1148,287,1148,574,574,574,574,1148,1148,82,-1,41,1148,1148,574,574,574,287,1148,574,1148,1148,164,574,1148,1148,574,164,1148,1148,287,1148,574,287,14,-1,28,1148,82,-1,82,1148,1148,574,574,574,287,1148,574,1148,1148,164
7811,0,1,636,159,318,212,636,636,212,159,318,636,106,-1,53,636,159,318,212,636,636,212,318,318,636,106,-1,53,636,159,318,212,636,636,212,159,318,636,106,-1,53,636,159,318,212,636,636,212,159,318,636,106,-1,53,636,318,318,212,636,636,212,159,318,636,106,-1,106,636,318,318,212,636,636,212,318,318,636,106,-1,53,636,159,318,212,636,636,212,159,318,636,106,-1,53,636,318,318,212,636,636,212
4307,0,1,385,385,385,110,385,770,385,385,770,770,385,770,110,770,385,110,385,770,154,770,70,-1,35,55,154,385,770,385,154,770,77,770,154,770,385,154,770,154,770,154,770,770,770,14,-1,70,77,385,385,154,770,770,55,770,770,110,385,770,770,770,770,770,385,770,110,770,70,-1,2,-1,11,385,770,385,110,385,770,770,770,385,770,770,770,110,770,385,110,770,770,14,-1,70,154,385,55,154,385,770
7597,0,1,546,546,273,546,78,78,182,273,273,273,546,273,546,546,273,546,546,546,546,91,182,21,42,273,546,182,546,546,546,273,546,546,546,546,39,78,273,546,273,182,78,-1,39,546,546,546,546,39,78,546,273,546,546,42,42,546,546,546,546,546,546,546,91,182,546,273,546,546,546,546,546,546,546,546,546,546,14,-1,6,273,546,273,273,78,-1,13,546,546,273,546,39,78,182,273,546,91,546,273
4891,0,1,2262,2262,1131,1131,2262,2262,754,1131,754,2262,754,2262,754,754,1131,754,754,1131,1131,377,377,174,174,1131,1131,754,2262,2262,2262,2262,2262,754,2262,2262,1131,2262,754,2262,2262,754,2262,2262,2262,1131,377,2262,2262,1131,2262,1131,754,2262,2262,174,174,754,26,-1,78,754,377,2262,377,754,2262,754,2262,754,2262,754,2262,2262,2262,2262,1131,2262,58,-1,29,1131,2262,2262,1131,2262,2262,377,1131,754,2262,754,2262,754,754,1131,754,754,2262,2262
5183,0,1,780,390,390,390,780,780,260,195,780,156,390,39,78,390,195,780,780,390,195,156,195,60,60,195,780,130,780,156,780,780,156,260,390,780,390,780,260,390,156,130,195,780,780,390,390,78,78,390,156,780,130,780,780,60,30,390,130,780,78,-1,13,780,130,390,390,780,780,260,390,780,156,195,78,78,195,390,60,-1,30,195,156,195,780,780,390,780,390,260,156,780,780,156,260,195,780,390,780,780
1027,0,1,858,858,429,858,858,858,286,429,429,858,858,858,286,286,429,858,858,429,858,429,143,33,66,429,429,286,858,78,78,858,858,858,858,858,429,78,78,858,429,858,858,858,858,858,858,858,858,429,858,858,286,858,858,33,66,858,286,858,858,858,143,858,143,429,78,-1,78,858,858,858,858,429,858,858,429,858,66,-1,66,429,858,429,429,858,858,858,429,143,429,286,429,858,286,858,78,78,858,858
7169,0,1,1365,2730,1365,195,2730,2730,455,1365,455,2730,910,2730,130,910,1365,130,455,1365,273,910,910,42,210,195,546,910,2730,2730,546,2730,273,910,546,2730,1365,546,455,546,1365,182,2730,2730,2730,273,130,2730,546,1365,1365,546,910,2730,390,210,210,130,910,2730,2730,910,910,2730,455,910,390,910,2730,910,78,-1,39,1365,2730,2730,195,2730,70,-1,35,1365,2730,1365,2730,390,2730,455,390,455,1365,182,2730,910,182,1365,130,182,1365,2730
9523,0,1,3300,1100,1650,550,330,3300,1100,550,132,3300,3300,1650,110,1100,825,330,3300,825,1650,1650,550,1650,275,275,3300,1100,3300,300,150,1650,660,1650,3300,3300,165,75,300,660,1100,660,1100,550,660,550,3300,1650,3300,1650,3300,3300,550,1100,825,3300,825,660,550,1100,660,3300,220,3300,550,330,100,-1,25,660,550,825,1100,3300,3300,1100,550,1650,1650,1650,1650,275,550,3300,165,1650,3300,330,825,1100,3300,44,275,3300,1100,330,150,150,3300,3300
2627,0,1,2900,2900,1450,725,290,2900,2900,1450,116,2900,2900,1450,290,2900,725,290,2900,725,1450,1450,1450,1450,1450,725,2900,2900,2900,2900,1450,1450,580,1450,2900,2900,145,1450,2900,580,2900,580,2900,1450,580,1450,2900,1450,2900,1450,2900,2900,1450,2900,1450,2900,1450,580,50,-1,20,2900,580,2900,1450,290,2900,2900,725,580,1450,725,2900,2900,2900,2900,1450,1450,725,725,725,725,1450,2900,145,1450,2900,145,725,2900,2900,116,1450,2900,2900,145,1450,1450,2900,2900
4897,0,1,738,738,369,738,738,123,246,369,738,123,246,738,738,738,369,369,82,-1,82,738,738,369,738,369,123,246,369,738,123,246,738,738,738,738,369,82,-1,82,738,738,738,738,369,246,246,738,738,123,246,738,738,738,738,738,82,-1,82,738,738,369,738,369,123,246,738,738,123,246,738,738,738,738,738,82,-1,41,738,738,738,369,18,-1,6,738,738,123,246,738,738,738,369,369,82,-1,82,738,738,369
5029,0,1,902,451,451,902,902,902,902,451,902,902,451,902,902,902,451,902,902,902,902,902,82,-1,82,451,451,451,902,451,902,451,902,902,902,902,451,902,902,902,902,451,902,902,902,82,-1,82,451,451,902,902,902,902,902,902,902,902,902,451,902,902,902,902,451,902,902,902,82,-1,41,902,902,902,902,451,902,451,451,902,902,451,22,-1,22,902,902,451,902,902,902,82,-1,41,451,451,902,902,902,902
6077,0,1,700,2100,350,1050,30,300,700,1050,84,700,2100,1050,210,2100,175,210,2100,1050,1050,350,350,1050,525,525,2100,700,2100,2100,1050,525,140,1050,2100,700,15,150,2100,140,2100,140,100,-1,20,350,2100,350,2100,150,300,700,525,2100,175,2100,525,420,525,700,420,2100,420,2100,350,70,2100,2100,525,420,350,1050,2100,2100,2100,700,1050,1050,175,75,150,525,350,2100,35,50,-1,5,350,2100,700,84,75,300,700,105,1050,175,2100,2100
5459,0,1,410,1230,205,246,246,615,410,615,615,1230,1230,1230,1230,410,205,1230,1230,1230,1230,1230,1230,410,1230,123,246,410,615,410,82,-1,82,205,1230,410,123,246,615,410,615,615,1230,1230,1230,1230,410,410,1230,615,1230,615,1230,1230,410,1230,246,246,410,615,410,82,-1,41,205,1230,410,246,246,615,205,1230,1230,1230,1230,1230,1230,410,205,1230,1230,615,30,-1,30,410,1230,123,246,410,615,410,82,-1,41,205,1230,410,246,246
