,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
829.0,0,1,828,207,414,9,828,276,276,207,276,23,46,414,414,23,207,207,276,828,414,828,828,207,828,9,828,69,828,92,828,92,828,207,92,828,414,828,207,414,828,207,414,36,414,207,276,828,207,138,828,69,69,92,828,207,23,828,207,23,414,138,207,828,138,138,828,207,414,23,46,414,828,828,46,207,276,12,92,828,69,207,828,276,276,207,138,828,276,276,828,828,414,828,69,276,276,138,828,207
839.0,0,1,419,419,419,419,419,419,419,419,419,838,419,838,419,419,419,838,419,419,419,419,838,419,419,419,838,419,419,838,419,838,419,838,838,419,419,419,419,838,419,838,419,419,838,419,419,419,419,419,419,838,838,419,419,838,419,419,838,419,419,419,838,419,419,838,838,838,838,419,419,838,419,419,419,419,419,838,838,838,419,419,838,838,419,838,419,838,838,838,419,838,419,838,419,419,419,838,419,838
853.0,0,1,852,142,426,284,852,284,284,71,213,852,213,284,213,284,213,852,852,426,852,284,71,426,284,142,426,142,852,852,426,213,852,852,142,142,426,284,852,284,142,142,426,426,852,284,852,213,426,142,852,852,852,852,852,426,142,213,213,213,852,213,852,284,142,71,142,213,852,213,852,426,284,426,426,71,71,426,213,852,852,71,852,71,852,213,852,852,426,852,213,71,71,426,284,852,852,852,12,852
857.0,0,1,428,856,214,856,856,856,428,428,856,856,856,428,856,428,107,856,107,856,856,428,856,214,856,428,107,856,856,428,214,428,428,107,856,428,428,856,856,856,856,428,107,107,856,856,428,856,856,428,107,428,428,428,856,214,856,214,214,856,428,428,107,856,214,856,428,856,856,856,214,214,214,428,856,856,856,107,856,428,856,214,107,214,428,428,428,856,856,856,856,856,107,856,856,107,856,428,107,856
859.0,0,1,858,858,429,429,143,429,286,429,26,286,78,11,858,66,429,429,858,66,33,286,429,78,429,429,78,286,143,858,429,429,858,39,286,143,143,858,143,858,858,429,33,33,858,143,33,429,286,429,858,858,429,429,429,858,66,429,429,143,286,11,858,429,143,429,22,858,429,143,858,143,858,858,143,286,858,858,143,143,143,429,858,858,858,429,26,143,11,858,858,429,286,286,858,858,429,858,286,858
863.0,0,1,431,431,431,862,431,862,431,431,862,862,431,862,862,862,431,431,431,431,862,862,862,862,431,431,862,431,862,431,862,431,431,862,431,431,431,431,431,862,862,431,862,431,862,862,862,862,431,431,431,431,862,431,431,431,862,431,431,431,862,431,431,862,431,431,862,862,431,862,431,431,431,862,431,431,431,431,862,862,862,431,431,862,862,862,431,431,862,862,862,431,862,431,862,862,431,862,431,862
877.0,0,1,876,438,438,876,292,219,292,219,438,292,219,876,876,292,219,292,876,876,292,146,438,219,876,438,146,146,146,146,219,219,876,876,438,876,146,219,73,876,219,219,876,73,876,876,292,876,146,219,292,876,876,219,876,438,876,876,876,73,876,292,876,219,146,146,73,219,876,438,146,219,876,438,876,219,876,876,219,73,876,219,876,292,219,438,876,219,73,292,146,292,438,146,146,73,876,219,292,876
881.0,0,1,55,880,55,440,880,80,55,440,440,440,880,440,880,880,55,880,40,440,440,55,88,880,880,220,440,880,880,176,880,880,11,176,880,880,440,440,440,880,88,440,55,440,440,55,880,176,176,40,44,220,440,880,880,110,880,880,880,880,176,220,880,880,55,220,80,55,16,440,880,440,88,880,440,176,88,176,80,880,440,220,40,40,55,16,440,220,440,220,11,880,880,55,880,44,880,440,440,220
883.0,0,1,882,126,441,126,441,98,294,63,441,882,294,441,441,63,441,49,98,882,294,441,147,882,441,63,882,42,882,441,98,147,882,49,882,441,441,294,49,882,441,882,882,882,882,42,49,294,882,49,98,882,49,98,441,49,147,147,882,882,441,294,882,882,147,882,882,441,441,147,882,7,882,294,441,42,126,441,147,441,882,63,147,441,147,882,21,882,441,882,441,882,882,882,441,147,49,294,126,882
887.0,0,1,443,443,443,886,443,443,443,443,886,443,443,443,443,886,443,886,443,443,886,443,443,886,443,443,443,443,443,886,886,886,443,443,886,886,443,443,443,443,886,886,443,443,443,886,886,443,443,443,443,886,443,886,443,886,443,443,886,443,886,886,886,443,443,886,443,886,886,886,886,443,443,886,443,443,443,443,443,886,886,443,886,443,443,443,443,886,443,886,886,443,886,886,443,886,443,886,443,443
