,0,1,2,3,4,5,6,7,8,9
34417,0,1,945,630,945,378,1890,1890,315,315
35501,0,1,3510,390,1755,1755,3510,1755,1170,195
37127,0,1,9180,2040,4590,3672,18360,9180,3060,1020
37669,0,1,6210,690,3105,621,6210,3105,2070,345
40379,0,1,19980,2220,9990,999,9990,9990,6660,1110
40921,0,1,135,150,135,675,1350,1350,45,75
42547,0,1,7020,390,3510,1404,7020,7020,2340,195
44173,0,1,810,810,405,54,270,810,270,405
45257,0,1,11205,2490,11205,4482,22410,11205,3735,1245
46883,0,1,23220,2580,11610,4644,11610,23220,7740,1290
48509,0,1,24030,2670,12015,2403,24030,24030,8010,1335
49051,0,1,540,90,270,135,540,540,180,45
51761,0,1,2565,570,2565,513,5130,270,855,285
52303,0,1,4320,240,2160,1728,4320,1080,1440,120
53387,0,1,26460,2940,13230,5292,1890,13230,8820,1470
53929,0,1,1485,990,1485,297,2970,1485,495,495
57181,0,1,1890,210,945,945,1890,1890,630,105
60433,0,1,4995,1110,4995,1998,9990,4995,1665,555
61517,0,1,30510,3390,15255,6102,30510,15255,10170,1695
62059,0,1,10260,570,5130,1026,10260,10260,3420,285
63143,0,1,3915,3480,3915,6264,31320,15660,1305,1740
64769,0,1,16065,3570,16065,3213,4590,32130,5355,1785
65311,0,1,1080,120,540,1080,540,2160,360,60
68021,0,1,1350,750,675,675,6750,3375,450,375
69647,0,1,2160,3840,1080,6912,34560,34560,720,1920
71273,0,1,17685,3930,17685,7074,35370,35370,5895,1965
72899,0,1,36180,4020,18090,1809,18090,36180,12060,2010
35179,0,1,644,2898,322,1932,5796,2898,644,1449
36287,0,1,5980,4485,2990,17940,17940,8970,5980,4485
37949,0,1,1564,9384,782,9384,9384,4692,1564,4692
38503,0,1,276,138,138,276,276,138,92,69
41273,0,1,3404,10212,1702,10212,10212,5106,3404,5106
41827,0,1,1380,3450,690,6900,6900,3450,460,1725
43489,0,1,1196,1794,598,3588,3588,3588,1196,897
45151,0,1,7452,3726,3726,2484,2484,3726,2484,1863
46259,0,1,7636,5727,3818,22908,22908,11454,7636,5727
47921,0,1,3956,11868,1978,11868,11868,11868,3956,5934
49583,0,1,8188,6141,4094,24564,24564,12282,8188,6141
50137,0,1,4140,1035,2070,1380,1380,276,1380,1035
52907,0,1,8740,6555,4370,5244,5244,690,8740,6555
53461,0,1,2208,1104,1104,4416,2208,552,736,552
54569,0,1,4508,13524,2254,13524,1932,6762,4508,6762
55123,0,1,9108,4554,4554,3036,9108,4554,3036,2277
58447,0,1,9660,4830,4830,9660,9660,4830,3220,2415
61771,0,1,3404,5106,1702,10212,10212,5106,3404,2553
62879,0,1,10396,7797,5198,31188,31188,15594,10396,7797
63433,0,1,1748,1311,874,5244,5244,5244,1748,1311
64541,0,1,2668,16008,1334,16008,16008,8004,2668,8004
66203,0,1,10948,8211,5474,32844,4692,16422,10948,8211
66757,0,1,552,2760,276,2760,1380,5520,184,1380
69527,0,1,2300,8625,1150,6900,34500,17250,2300,8625
71189,0,1,368,17664,184,17664,17664,17664,368,8832
72851,0,1,12052,9039,6026,36156,36156,18078,12052,9039
74513,0,1,6164,18492,3082,18492,18492,18492,6164,9246
75067,0,1,12420,690,6210,2484,12420,6210,4140,345
35687,0,1,70,2520,35,420,504,1260,70,1260
36811,0,1,910,3640,455,1820,3640,260,910,1820
38497,0,1,2380,4760,1190,4760,952,340,2380,2380
39059,0,1,4830,19320,2415,9660,1288,1380,1610,9660
41869,0,1,5180,10360,2590,5180,2072,740,5180,5180
42431,0,1,210,1400,105,2100,4200,300,70,700
44117,0,1,1820,10920,910,5460,2184,260,1820,5460
45803,0,1,5670,22680,2835,3780,1512,1620,1890,11340
46927,0,1,5810,23240,2905,11620,4648,1660,5810,11620
48613,0,1,6020,12040,3010,6020,2408,860,6020,6020
50299,0,1,6230,24920,3115,12460,4984,1780,6230,12460
50861,0,1,1260,2520,630,420,840,60,420,1260
53671,0,1,1330,5320,665,2660,1064,20,1330,2660
54233,0,1,3360,560,1680,6720,672,120,1120,280
55357,0,1,980,1960,490,980,56,980,980,980
55919,0,1,6930,27720,3465,4620,5544,1980,2310,13860
59291,0,1,210,840,105,140,840,420,70,420
62663,0,1,2590,31080,1295,15540,6216,740,2590,15540
63787,0,1,7910,31640,3955,15820,6328,2260,7910,15820
64349,0,1,2660,15960,1330,7980,3192,1140,2660,7980
65473,0,1,2030,8120,1015,8120,1624,580,2030,4060
67159,0,1,1190,4760,595,2380,952,2380,1190,2380
67721,0,1,840,840,420,280,280,240,280,420
70531,0,1,350,7000,175,700,7000,500,350,3500
72217,0,1,560,8960,280,8960,1792,1280,560,4480
73903,0,1,9170,36680,4585,18340,7336,2620,9170,18340
75589,0,1,9380,18760,4690,9380,3752,1340,9380,9380
76151,0,1,1890,840,945,3780,7560,540,630,420
77837,0,1,3220,19320,1610,9660,3864,1380,3220,9660
